work_order_id,asset_number,description,status,priority,type,created_date,completed_date,downtime_minutes,technician,parts_used
WO-20260001,A-105,Temperature control loop oscillating - PID tuning required,COMPLETED,Medium,Breakdown,2026-02-23 10:00:00,2026-02-23 11:31:32,73,T-Williams,
WO-20260002,A-301,Label misalignment detected - adjust label applicator,OPEN,Medium,Corrective,2026-03-15 10:00:00,,,T-Nguyen,relay CR-24V
WO-20260003,A-102,Scheduled replacement of wear parts per OEM schedule,COMPLETED,Low,Preventive,02/19/2026 09:00,2026-02-19 17:40:48,411,T-Brown,V-belt A68
WO-20260004,A-101,Biannual motor alignment verification,COMPLETED,Low,PM,02/25/2026 20:00,2026-02-27 16:54:16,289,T-Brown,fuse 10A
WO-20260005,A-305,Palletizer arm drift - recalibrate servo motor,COMPLETED,High,Corrective,2026-02-19 08:00:00,2026-02-20 18:17:51,122,T-Brown,gasket set GS-100
WO-20260006,A-204,Unexpected shutdown - investigate PLC fault code 42,COMPLETED,Critical,Breakdown,2026-02-17 20:00:00,02/18/2026 20:58,334,T-Nguyen,lubricant Mobil SHC 630
WO-20260007,A-302,Quarterly belt tension check and adjustment,COMPLETED,Low,PM,2026-02-24 13:00:00,2026-02-25 19:03:08,459,T-Lee,O-ring kit OR-50
WO-20260008,A-301,Monthly CIP system check and chemical titration,COMPLETED,Medium,PM,2026-02-23 22:00:00,02/24/2026 14:08,345,T-Garcia,gasket set GS-100
WO-20260009,A-101,Quarterly belt tension check and adjustment,COMPLETED,Low,Preventive,2026-03-14 23:00:00,03/16/2026 04:30,472,T-Nguyen,gasket set GS-100
WO-20260010,A-201,Weekly conveyor chain inspection,COMPLETED,Medium,PM,02/20/2026 10:00,02/21/2026 17:52,453,T-Brown,
WO-20260011,A-201,Vibration alarm on main drive motor - bearing replacement needed,IN_PROGRESS,High,Breakdown,03/10/2026 00:00,,,T-Lee,
WO-20260012,A-304,Unexpected shutdown - investigate PLC fault code 42,COMPLETED,Critical,Corrective,2026-02-22 18:00:00,2026-02-24 12:35:42,215,T-Nguyen,bearing SKF-6205
WO-20260013,A-205,Product changeover taking longer than spec - optimize recipe,COMPLETED,Medium,Breakdown,02/16/2026 22:00,2026-02-18 02:25:20,480,T-Johnson,bearing SKF-6205
WO-20260014,A-101,Weekly conveyor chain inspection,COMPLETED,Low,Preventive,2026-03-12 19:00:00,2026-03-13 08:54:04,245,T-Nguyen,
WO-20260015,A-201,Vibration alarm on main drive motor - bearing replacement needed,COMPLETED,High,Corrective,2026-03-10 20:00:00,03/11/2026 14:47,46,T-Nguyen,sensor PT-100
WO-20260016,A-102,Quarterly belt tension check and adjustment,COMPLETED,Medium,PM,2026-02-19 20:00:00,2026-02-19 20:54:31,83,T-Lee,O-ring kit OR-50
WO-20260017,A-302,Monthly CIP system check and chemical titration,CANCELLED,Low,Preventive,03/08/2026 12:00,,,T-Nguyen,bearing SKF-6205
WO-20260018,A-103,Temperature control loop oscillating - PID tuning required,COMPLETED,High,Corrective,02/23/2026 12:00,2026-02-24 23:42:58,411,T-Johnson,bearing SKF-6205
WO-20260019,A-104,Scheduled bearing inspection and lubrication,OPEN,Medium,Preventive,03/04/2026 09:00,,,T-Lee,fuse 10A
WO-20260020,A-107,Leak detected on CIP return line - gasket replacement,COMPLETED,Medium,Breakdown,2026-03-12 00:00:00,2026-03-12 13:26:06,227,T-Brown,lubricant Mobil SHC 630
WO-20260021,A-105,Fill volume inconsistency - check flowmeter calibration,COMPLETED,Medium,Corrective,02/18/2026 13:00,02/19/2026 11:10,449,T-Garcia,O-ring kit OR-50
WO-20260022,A-203,Vibration alarm on main drive motor - bearing replacement needed,COMPLETED,Critical,Breakdown,2026-02-22 00:00:00,02/23/2026 22:22,226,T-Brown,
WO-20260023,A-103,Leak detected on CIP return line - gasket replacement,COMPLETED,Medium,Corrective,2026-02-28 14:00:00,03/02/2026 07:52,26,T-Garcia,
WO-20260024,A-104,Scheduled replacement of wear parts per OEM schedule,COMPLETED,Medium,Preventive,2026-03-07 23:00:00,2026-03-08 20:30:37,37,T-Lee,seal kit SK-22
WO-20260025,A-305,Unexpected shutdown - investigate PLC fault code 42,COMPLETED,Critical,Corrective,2026-02-24 09:00:00,02/25/2026 08:04,279,T-Johnson,fuse 10A
