alarm_id,timestamp,equipment_id,alarm_tag,description,severity,status,acknowledged_by,acknowledged_at,duration_seconds,line_id
ALM-00001,2026-03-10 13:40:33,EQ-104,EQ-104.HIGH_TEMP,Temperature exceeds high limit,HIGH,CLEARED,OP-001,2026-03-10 13:59:24,308,L1
ALM-00002,2026-03-14 06:08:35,EQ-103,EQ-103.LABEL_JAM,Label applicator jam detected,3,ACTIVE,,,,L1
ALM-00003,2026-03-08 04:30:23,303,303.BOTTLE_JAM,Bottle jam on conveyor,LOW,ACTIVE,,,,L3
ALM-00004,2026-03-12 23:39:07,EQUIP_201,EQUIP_201.LEVEL_LOW,Tank level below minimum,LOW,SHELVED,,,1438,L2
ALM-00005,2026-03-05 10:06:38,304,304.CIP_FAULT,CIP cycle fault - chemical concentration out of range,HIGH,SHELVED,,,342,L3
ALM-00006,2026-03-03 18:19:22,303,303.LEVEL_LOW,Tank level below minimum,4,CLEARED,OP-001,2026-03-03 18:26:49,4838,L3
ALM-00007,2026-03-13 03:20:04,EQ-105,EQ-105.BOTTLE_JAM,Bottle jam on conveyor,4,SHELVED,,,3384,L1
ALM-00008,2026-03-06 22:48:42,EQ-103,EQ-103.COMM_FAIL,Communication failure with field device,2,ACKNOWLEDGED,OP-002,2026-03-06 23:09:04,3009,L1
ALM-00009,2026-03-03 05:54:21,302,302.LOW_PRESSURE,Pressure below minimum threshold,MEDIUM,CLEARED,OP-006,2026-03-03 05:54:53,5924,L3
ALM-00010,2026-03-11 06:33:41,EQ-103,EQ-103.MOTOR_OVERLOAD,Motor current exceeds rated capacity,2,CLEARED,OP-002,2026-03-11 06:40:55,3054,L1
ALM-00011,2026-03-11 11:08:48,EQ-101,EQ-101.MOTOR_OVERLOAD,Motor current exceeds rated capacity,HIGH,CLEARED,OP-003,2026-03-11 11:35:56,6022,L1
ALM-00012,2026-03-03 18:42:19,304,304.MOTOR_OVERLOAD,Motor current exceeds rated capacity,HIGH,SHELVED,,,1618,L3
ALM-00013,2026-03-02 18:52:20,EQ-101,EQ-101.HIGH_TEMP,Temperature exceeds high limit,HIGH,ACKNOWLEDGED,OP-006,2026-03-02 19:13:47,3477,L1
ALM-00014,2026-03-04 14:24:31,303,303.HIGH_TEMP,Temperature exceeds high limit,HIGH,CLEARED,OP-001,2026-03-04 14:43:59,2036,L3
ALM-00015,2026-03-07 14:47:03,EQ-105,EQ-105.E_STOP,Emergency stop activated,1,SHELVED,,,3129,L1
ALM-00016,2026-03-13 16:18:40,304,304.HIGH_TEMP,Temperature exceeds high limit,HIGH,SHELVED,,,115,L3
